0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
-0.999998 -0.001805 -0.000005
-0.362757 0.932291 0.007093
0.254923 0.563141 0.786359
-0.860684 -0.464266 0.210706
0.307631 -0.765413 0.564452
0.735797 0.015898 0.677159
-0.532211 0.342204 0.774207
-0.179459 0.963337 0.200885
-0.770543 0.161793 0.615891
-0.076576 -0.996288 -0.033167
-0.107084 -0.920041 -0.376450
-0.300470 -0.778524 -0.550513
0.463280 -0.457902 0.758711
0.463085 0.838754 0.286210
0.531571 0.014600 -0.847383
0.826945 -0.537999 -0.163806
-0.694883 -0.287311 -0.659103
-0.476792 -0.338224 -0.811209
0.215892 -0.850999 -0.478709
0.647832 0.736961 -0.191901
-0.581889 0.741676 0.334136
0.730257 0.198046 -0.654285
-0.962879 -0.264961 0.051395
-0.231235 0.505370 0.831374
0.018795 0.172973 -0.984606
-0.358603 -0.932149 0.051068
-0.804492 -0.422494 -0.417416
0.042911 0.085533 0.995219
0.177890 0.841399 -0.510033
-0.946668 0.312571 -0.069882
0.319916 0.258504 -0.910904
0.309625 0.165264 0.936742
0.286257 -0.198365 -0.937661
0.418911 -0.091603 0.903115
0.962455 -0.016280 0.273175
0.879602 0.164506 0.445484
-0.757754 -0.452521 0.468976
0.681229 0.722283 0.123010
-0.933214 0.224401 0.280682
0.647517 -0.247592 0.720964
-0.775598 0.606789 -0.173667
-0.276542 -0.535508 0.798136
0.550926 0.592863 0.587959
-0.011444 0.712793 0.701192
-0.919535 -0.075390 0.385716
0.222472 -0.590289 0.776172
0.546655 -0.726638 0.416410
-0.864224 -0.480708 -0.149264
-0.533689 -0.560018 0.633995
0.000076 0.730592 -0.683122
0.616121 -0.787084 -0.024995
-0.691153 0.502846 -0.518945
-0.735085 0.469824 0.487875
-0.016705 -0.373003 -0.928004
-0.459458 0.639539 0.616959
-0.431146 -0.824826 0.366300
0.868963 -0.285662 0.403636
-0.285567 0.913355 -0.291325
-0.085341 0.401415 -0.911593
0.019014 -0.965629 0.258798
